username,twhandle,postdate,content,responding,reply,retweet,like
Bizim Ankara,@BizimAnkara,2021-08-02T07:51:40.000Z,"Filenin Sultanları, Rusya karşısında beşinci seti 15-11 kazanarak gruplardan üçüncü olarak çıkıyor. Tebrikler Filenin Sultanları 
#Fileninsultanları #pazartesi #Tokyo2020 #TokyoOlympics #TokyoOlympics2020 #ankara #haber",,,,2
Türkuluscom,@turkulus_com,2021-08-02T07:51:02.000Z,"Türkiye Genelinde  Elektrik Kesintisi! 

#elektrikkesintisi #TEİAŞ #gündem #SonDakika #haber #güncelhaberler #haberler #Türkulus #kayseri","Türkiye Genelinde Elektrik Kesintisi! - Türkulus Medya Haber
Türkiye Genelinde Elektrik Kesintisi!
turkulus.com",,,
Ulak News,@ulaknews,2021-08-02T07:50:18.000Z,"Turizmi Teşvik Kanunu meclisten geçti: İyi Parti kabul oyu verdi, diğer partiler oylamaya katılmadı... https://ulak.news/haber_turizmi-tesvik-kanunu-meclisten-_gazetemanifesto_454638.html… --- #sondakika #haber #sondakikahaber #haberler","Turizmi Teşvik Kanunu meclisten geçti: İyi Parti kabul oyu verdi, diğer partiler oylamaya katılmadı
Muhalefet ret oyu vermedi orman ve kıyıların yağmalanmasının önü açıldıç | Ulak News
ulak.news",,,
olay.com.tr,@OlayHaber_Bursa,2021-08-02T07:49:42.000Z,"Avuç avuç tüketin! Akciğerleri temizliyor...

https://olay.com.tr/galeri/avuc-avuc-tuketin-akcigerleri-temizliyor-826632… #haber #sondakika",,,,1
#NobakhtAhad,@RealNobakhtAhad,2021-08-02T07:48:16.000Z,"Replying to 
@GoteborgsPosten","Europa's krypterade historia om #fascism...  

#SayNoToRacism!
#Nyheter #svpol #Haber #Islamophobia #europe #News #eu #Politics #Racism #Crime",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:44:02.000Z,Cam Tavanlar final yapıyor 8. Bölüm fragmanı yayınlandı https://haberizlenim.com/cam-tavanlar-final-yapiyor-8-bolum-fragmani-yayinlandi-20998h.htm… #haber #sondakika,"Cam Tavanlar final yapıyor 8. Bölüm fragmanı yayınlandı
Show TV ekranlarının Ojo Pictures imzalı sevilen dizisi Cam Tavanlar'ın final bölümü tanıtımı yayınlandı.
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:44:01.000Z,Ece Üner ile Susma Hangi Kanalda Ne zaman Başlayacak? https://haberizlenim.com/ece-uner-ile-susma-hangi-kanalda-ne-zaman-baslayacak-20997h.htm… #haber #sondakika,"Ece Üner ile Susma Hangi Kanalda Ne zaman Başlayacak?
Ekranın güvenilir yüzü Ece Üner, iddialı bir programla izleyici ile buluşmaya hazırlanıyor. Üner, 09 Ağustos Pazartesi Kanal D’de “susma” diyecek.
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:44:01.000Z,Ada Masalı 7. Bölüm Konusu https://haberizlenim.com/ada-masali-7-bolum-konusu-20996h.htm… #haber #sondakika,"Ada Masalı 7. Bölüm Konusu
Star ekranlarında yayınlanan Ay Yapım imzalı ‘Ada Masalı’, Salı günleri seyirci ile buluşuyor. Başrollerinde; Ayça Ayşin Turan ile Alp Navruz’un yer aldığı ‘Ada Masalı’nın çekimleri İzmir’de gerçek...
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:44:00.000Z,"Ünlüler yarıştı, eğlence zirve yaptı https://haberizlenim.com/unluler-yaristi-eglence-zirve-yapti-20995h.htm… #haber #sondakika","Ünlüler yarıştı, eğlence zirve yaptı
Ufuk Özkan’ın sunduğu ‘Star Market’te bu hafta; Esra Sönmezer, Esra Balamir ve Mahmut Tuncer ile eğlence ve rekabet zirve yaptı.
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:44:00.000Z,Yangınlara karşı çam yerine zeytin çağrısı https://haberizlenim.com/yanginlara-karsi-cam-yerine-zeytin-cagrisi-20994h.htm… #haber #sondakika,"Yangınlara karşı çam yerine zeytin çağrısı
“Aydıncık’ın sırtını yasladığı taş masa ve paraleli benim bildiğim  3’üncü kez yanıyor. Hiç bir zamanda bir önceki yangından ders alamıyoruz. Anlaşılan bu böyle sürüp gidecek.
haberizlenim.com",,,
