username,twhandle,postdate,content,responding,reply,retweet,like
olay.com.tr,@OlayHaber_Bursa,2021-08-12T08:01:13.000Z,"#Bursa’da esnafın kâbusu oldular! O anlar kamerada

https://olay.com.tr/bursada-10-magazaya-girmeye-calisan-hirsizlar-kamerada-831909… #haber #sondakika #Merkez",,,,,"['Bursa', 'haber', 'sondakika', 'Merkez']"
ON6 #YeniNesilTelevizyon,@On6_tv,2021-08-12T07:54:35.000Z,"Bülent Temelli’den mesaj var
#gündem  #haber  #inegöl 
https://kanal16haber.com/haber/bulent_temelliden_mesaj_var-67955.html…",,,,,"['gündem', 'haber', 'inegöl']"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:54:29.000Z,"#Bursa’da iki grup birbirine girdi

https://olay.com.tr/bursada-iki-grup-birbirine-girdi-2-831934… #haber #sondakika #Merkez",,,,,"['Bursa', 'haber', 'sondakika', 'Merkez']"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:53:43.000Z,"RTÜK Aşk Mantık İntikam dizisine acımadı!

https://olay.com.tr/galeri/rtuk-ask-mantik-intikam-dizisine-acimadi-831972… #haber #sondakika",,,,,"['haber', 'sondakika']"
CAN TV,@cantv_tv,2021-08-12T07:53:04.000Z,"Günün öne çıkan gelişmeleri Can Tv sosyal medya hesaplarında!

En güncel haberler için Can Tv Twitter, Instagram ve Facebook sayfalarını takip etmeyi unutmayın.

#cantv #hakikatyolunda #haber #güncel #haber #aktüel #gündem #sondakika #alevi #kadın #çocuk #emek #ekoloji",,,,,"['cantv', 'hakikatyolunda', 'haber', 'güncel', 'haber', 'aktüel', 'gündem', 'sondakika', 'alevi', 'kadın', 'çocuk', 'emek', 'ekoloji']"
Findy News Haber,@FindyNews,2021-08-12T07:52:45.000Z,El titremesini önleyen bileklik tasarlandı!  https://findynews.com/el-titremesini-onleyen-bileklik-tasarlandi/… #Haber #gündem #sondakika #findynews,"El titremesini önleyen bileklik tasarlandı!
Üsküdar Üniversitesi BrainPark Kuluçka Merkezi nin girişimci şirketi ALEA giyilebilir teknoloji ürünleri üretmeye başladı. Şirket tarafından üretilen bileklikle, titreme hastalığı olarak da bilinen...
findynews.com",,,1,"['Haber', 'gündem', 'sondakika', 'findynews']"
Bursa Sancak,@BursaSancak,2021-08-12T07:52:01.000Z,"Ulaşılamayan TIR şoförü, takip cihazı sayesinde kaza yaptığı yerde yaralı bulundu #Bursa 
https://tinyurl.com/ymy4cwac
#bursa #sondakika #haber #gündem #perşembe #asayiş",,,,,"['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'perşembe', 'asayiş']"
MUĞLA GAZETESİ,@muglagazetesi,2021-08-12T07:50:49.000Z,BÜYÜK ORMAN YANGINLARININ TAMAMI SÖNDÜRÜLDÜ » Muğla Gazetesi Günlük Siyasi Bağımsız Gazete http://muglagazetesi.com.tr/buyuk-orman-yanginlarinin-tamami-sonduruldu.html… #haber,,,,,['haber']
Plastikciyiz.biz,@plastikciyizcom,2021-08-12T07:50:20.000Z,"Depozito İade Sistemi’yle hem çevre hem tüketici kazanacak

https://bit.ly/3lUd1gf

#plastikciyizbiz #plastik #plastikdünyası #plastiksektörü #haber #sektörelhaber #pagev","Depozito İade Sistemi'yle hem çevre hem tüketici kazanacak
plastikciyiz.biz",,,,"['plastikciyizbiz', 'plastik', 'plastikdünyası', 'plastiksektörü', 'haber', 'sektörelhaber', 'pagev']"
Özgün Kocaeli,@ozgunkocaeli,2021-08-12T07:49:33.000Z,"https://ozgunkocaeli.com.tr/haber/7599139/mustafa-karsli-cezaevinde-yasamini-yitirdi…

#MustafaKarslı #SedatPeker #sondakika #SonDakika #Kocaeli #izmit  #haber #kocaelihaberleri #sondakikahaberleri #kocaeligündem #güncelhaberler #haberler #SONDAKIKA #vefatetti","Mustafa Karslı cezaevinde yaşamını yitirdi
Kocaeli'de bilinen isimlerden biri olan Mustafa Karslı, İstanbul'da bulunduğu cezaevinde yaşamını yitirdiği öğrenildi.
ozgunkocaeli.com.tr",,,,"['MustafaKarslı', 'SedatPeker', 'sondakika', 'SonDakika', 'Kocaeli', 'izmit', 'haber', 'kocaelihaberleri', 'sondakikahaberleri', 'kocaeligündem', 'güncelhaberler', 'haberler', 'SONDAKIKA', 'vefatetti']"
