username,twhandle,postdate,content,responding,reply,retweet,like
Martina Thelen,@MartinaThelenKR,2021-07-29T10:05:24.000Z,"Kein #Magazin, aber wir von 
@KammannRossi
 achten natürlich auch im Urlaub auf gutes Design.  #welovemags",,1,1,3,"['Magazin', 'welovemags']"
Onda Cero Sierra,@OndaCeroSierra,2021-07-27T11:50:04.000Z,Directo: #verano #Magazín Más de uno 27/07/2021 http://dlvr.it/S4W6JF 106.6FM,,,5,,"['verano', 'Magazín']"
Hannover,@fragmentiert,2021-08-01T21:47:45.000Z,"#MUH
""MUH möchte ein #Magazin sein für #bayerisch:es Wesen u. Unwesen, bayerische #Kulturen u. #Unkultur:en, #Gemütlichkeit und #Ungemütlich:keiten.""
https://muh.by/ueber-die-muh
Symbolbild - Quelle: http://wandern.de",,,,2,"['MUH', 'Magazin', 'bayerisch', 'Kulturen', 'Unkultur', 'Gemütlichkeit', 'Ungemütlich']"
Yonca Magazin,@yubl_app,2021-07-27T08:24:33.000Z,#hadise'den bikinili pozlar#magazin,,,,1,"['hadise', 'magazin']"
Mehmet Sarıtaş,@mehmetsaritas,2021-08-01T08:09:09.000Z,Bu #magazin programında anlatılan ünlülerin hiç birini tanımıyorum ya ben…,,,,1,['magazin']
