username,twhandle,postdate,content,responding,reply,retweet,like
Mesut ERSOY,@mesutersoy6,2021-08-02T01:30:19.000Z,"Her nefes alışınız #sağlık, mutluluk, #sevgi, huzur dolu olsun.
Gülücüklerinizle aydınlansın gününüz ve gönlünüz.

#HayırlıSabahlar",,8,46,102,"['sağlık', 'sevgi', 'HayırlıSabahlar']"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-28T07:00:38.000Z,"TDB 18. DÖNEM MERKEZ YÖNETİM KURULU`NUN GÖREV DAĞILIMI BELLİ OLDU
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3826…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,2,8,"['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']"
AKGUN TECHNOLOGY,@AkgunTechno,2021-07-30T11:55:24.000Z,"AKGÜN Laboratuvar Bilgi Yönetim Sistemi herhangi bir sisteme bağlı olmadan, bağımsız olarak çalışabilen ve kullanılabilen bir web projesidir.

https://akgunyazilim.com.tr/tr/urunler/akgun-laboratuvar-bilgi-yonetim-sistemi-lbys…

#akgün #dijitaldönüşüm #sağlık",,,2,5,"['akgün', 'dijitaldönüşüm', 'sağlık']"
A_N_T_E_A zeytin ve zeytinyağı,@a_n_t_e_a,2021-07-31T06:23:24.000Z,"#cumartesi sabahından herkese #günaydın
05512654297
ÜCRETSİZ KARGO
#haftasonu #cumartesi #kahvaltı #zeytinyağı #sıcak #sağlıklıbeslenme #sağlık #erkencitayfa",,2,3,19,"['cumartesi', 'günaydın', 'haftasonu', 'cumartesi', 'kahvaltı', 'zeytinyağı', 'sıcak', 'sağlıklıbeslenme', 'sağlık', 'erkencitayfa']"
evren,@pyromacy,2021-07-28T15:16:11.000Z,#saglik #huzur #mutluluk,,,,7,"['saglik', 'huzur', 'mutluluk']"
e_srpl,@e_srpl,2021-07-29T04:37:09.000Z,"""Kuş uçtukça genişliyor gökyüzü,"" demişti Rilke.

Belkiiiii ,hayat da yaşadıkça. 
Böyle şeyler düşün. 
Delirme.

Kimse duymaz çünkü bu gürültüde.

#gunaydın
#busabah #perşembe
#sağlık #huzur #mucize #şans #bereketbolluk #güzellik #para",,,3,56,"['gunaydın', 'busabah', 'perşembe', 'sağlık', 'huzur', 'mucize', 'şans', 'bereketbolluk', 'güzellik', 'para']"
Gül Bayrakcı,@gul_bayrakc,2021-07-31T03:18:41.000Z,"Eğitim düzeyi ve hayat düzeyi dengelenmiş bireyler olunabilinirse, bizim ülkemizde de olabilecek bir doğum sonrası ebeveyn otel fikri müthiş   #sağlık",,1,,,['sağlık']
Ganoderma BURSA,@TurgutYakut,2021-07-28T04:49:54.000Z,#saglik,,,,1,['saglik']
batuhan baybas,@BatuhanBaybas,2021-08-01T17:54:45.000Z,Sevgili sağlık bakanlığı elinizde olmayan nedenlerden dolayı vaka sayılarını az gösterme çabamız ölüm sayılarının artması nedeniyle pek inandırıcı olmuyor bileğinize #COVID19 #saglik,,,,,"['COVID19', 'saglik']"
Korkma Ye Zayıfla,@kisiselkoc50,2021-08-02T04:24:44.000Z,"Sabah
#iletişim05425467850 #kormayesagliklizayifla #diyet #diyetteyiz #sport #keşfet #fitness #kiloverme #başarı #motivasyon #sağlık #günaydın #türkiye #sagliklibeslenme #istanbul #bestoftheday #mutluluk #hedef #kişiselgelişim #beslenme #vizyon #instagram #facebook #pazartesi",,,,1,"['iletişim05425467850', 'kormayesagliklizayifla', 'diyet', 'diyetteyiz', 'sport', 'keşfet', 'fitness', 'kiloverme', 'başarı', 'motivasyon', 'sağlık', 'günaydın', 'türkiye', 'sagliklibeslenme', 'istanbul', 'bestoftheday', 'mutluluk', 'hedef', 'kişiselgelişim', 'beslenme', 'vizyon', 'instagram', 'facebook', 'pazartesi']"
